well_code,parameter_code,model_name,scenario,projection_date,projected_value
IRHS-776,TDS,intrusion_salina_v1,optimista,2026-01-01,9350
IRHS-776,TDS,intrusion_salina_v1,base,2026-01-01,9500
IRHS-776,TDS,intrusion_salina_v1,pesimista,2026-01-01,9650
IRHS-777,TDS,intrusion_salina_v1,optimista,2026-01-01,9350
IRHS-777,TDS,intrusion_salina_v1,base,2026-01-01,9500
IRHS-777,TDS,intrusion_salina_v1,pesimista,2026-01-01,9650
IRHS-776,TDS,intrusion_salina_v1,optimista,2026-02-01,9370
IRHS-776,TDS,intrusion_salina_v1,base,2026-02-01,9560
IRHS-776,TDS,intrusion_salina_v1,pesimista,2026-02-01,9750
IRHS-777,TDS,intrusion_salina_v1,optimista,2026-02-01,9370
IRHS-777,TDS,intrusion_salina_v1,base,2026-02-01,9560
IRHS-777,TDS,intrusion_salina_v1,pesimista,2026-02-01,9750
IRHS-776,TDS,intrusion_salina_v1,optimista,2026-03-01,9390
IRHS-776,TDS,intrusion_salina_v1,base,2026-03-01,9620
IRHS-776,TDS,intrusion_salina_v1,pesimista,2026-03-01,9850
IRHS-777,TDS,intrusion_salina_v1,optimista,2026-03-01,9390
IRHS-777,TDS,intrusion_salina_v1,base,2026-03-01,9620
IRHS-777,TDS,intrusion_salina_v1,pesimista,2026-03-01,9850
IRHS-776,TDS,intrusion_salina_v1,optimista,2026-04-01,9410
IRHS-776,TDS,intrusion_salina_v1,base,2026-04-01,9680
IRHS-776,TDS,intrusion_salina_v1,pesimista,2026-04-01,9950
IRHS-777,TDS,intrusion_salina_v1,optimista,2026-04-01,9410
IRHS-777,TDS,intrusion_salina_v1,base,2026-04-01,9680
IRHS-777,TDS,intrusion_salina_v1,pesimista,2026-04-01,9950
IRHS-776,TDS,intrusion_salina_v1,optimista,2026-05-01,9430
IRHS-776,TDS,intrusion_salina_v1,base,2026-05-01,9740
IRHS-776,TDS,intrusion_salina_v1,pesimista,2026-05-01,10050
IRHS-777,TDS,intrusion_salina_v1,optimista,2026-05-01,9430
IRHS-777,TDS,intrusion_salina_v1,base,2026-05-01,9740
IRHS-777,TDS,intrusion_salina_v1,pesimista,2026-05-01,10050
IRHS-776,TDS,intrusion_salina_v1,optimista,2026-06-01,9450
IRHS-776,TDS,intrusion_salina_v1,base,2026-06-01,9800
IRHS-776,TDS,intrusion_salina_v1,pesimista,2026-06-01,10150
IRHS-777,TDS,intrusion_salina_v1,optimista,2026-06-01,9450
IRHS-777,TDS,intrusion_salina_v1,base,2026-06-01,9800
IRHS-777,TDS,intrusion_salina_v1,pesimista,2026-06-01,10150
